Wall time,Step,Value
1539131730.2219586,5,2.8700530529022217
1539131730.289363,6,2.7611663341522217
1539131730.5529766,10,2.552574634552002
1539131730.61066,11,2.4880194664001465
1539131730.8508778,14,2.4313254356384277
1539131730.9081051,15,2.3918254375457764
1539131731.1527488,18,2.355292558670044
1539131731.2107658,19,2.2838962078094482
1539131731.271819,20,2.1954023838043213
1539131731.5253592,24,2.0715484619140625
1539131732.1263766,33,1.8630298376083374
1539131732.3499367,36,1.727532148361206
1539131732.606259,40,1.6193983554840088
1539131732.7425,42,1.5920648574829102
1539131732.8670971,44,1.7452704906463623
1539131732.9441235,45,1.5181553363800049
1539131733.2319937,47,1.529820442199707
1539131733.4539163,49,1.4297993183135986
1539131734.2752254,53,1.41364324092865
1539131734.3355105,54,1.3975411653518677
1539131734.4049742,55,1.3698318004608154
1539131734.4880402,56,1.3582359552383423
1539131734.5463405,57,1.3158857822418213
1539131735.1637092,63,1.2301665544509888
1539131735.3088171,65,1.228203296661377
1539131735.3993473,66,1.298403263092041
1539131735.4699283,67,1.160862684249878
1539131735.5495536,68,0.9755425453186035
1539131735.7347832,71,1.0413228273391724
1539131735.7932544,72,1.1052219867706299
1539131735.8539484,73,1.115400791168213
1539131735.932177,74,1.0585488080978394
1539131736.3137176,79,0.9760066866874695
1539131736.6733248,84,1.0609078407287598
1539131736.890069,87,1.0791510343551636
1539131736.9615252,88,1.0259910821914673
1539131737.3901916,94,0.9308242797851562
1539131738.2225127,102,1.0130575895309448
1539131738.4151747,105,0.9237428903579712
1539131738.4779704,106,0.9172905087471008
1539131738.944073,113,0.8074055314064026
1539131739.149243,116,0.8426257967948914
1539131739.3305385,118,0.7773813605308533
1539131740.1649792,125,0.6877635717391968
1539131740.2559235,126,0.8045413494110107
1539131740.6330903,129,0.8371625542640686
1539131740.7522166,130,0.6355739235877991
1539131741.6492438,137,0.7739557027816772
1539131741.9817615,139,0.7302809357643127
1539131742.193214,141,0.6874202489852905
1539131742.2638621,142,0.6952182054519653
1539131742.3492231,143,0.5874434113502502
1539131742.8508725,150,0.6690828800201416
1539131743.4240806,155,0.6729017496109009
1539131743.5548575,157,0.5776251554489136
1539131743.6240065,158,0.5499460101127625
1539131743.6867144,159,0.6245301365852356
1539131743.8858984,162,0.5867735147476196
1539131744.1274374,165,0.7119230031967163
1539131744.2839475,167,0.430385023355484
1539131744.349756,168,0.6606230139732361
1539131744.555466,171,0.6191014051437378
1539131745.0440414,177,0.6154220104217529
1539131745.1448817,178,0.5049040913581848
1539131745.4616036,180,0.5835248827934265
1539131745.9601922,183,0.6617651581764221
1539131746.2807224,185,0.45203083753585815
1539131746.4121492,186,0.5339575409889221
1539131746.8090892,188,0.5082972049713135
1539131747.193138,190,0.5489152669906616
1539131747.42124,191,0.4541240930557251
1539131748.6255257,198,0.6059935688972473
1539131750.8079264,206,0.5321445465087891
1539131750.9125412,207,0.4568631649017334
1539131751.0297995,208,0.56021648645401
1539131751.3747313,212,0.6184085607528687
1539131752.2791212,222,0.4781530499458313
1539131752.377376,223,0.4844250977039337
1539131752.5778172,225,0.43134117126464844
1539131752.7589862,227,0.47748473286628723
1539131752.9014044,229,0.5724214911460876
1539131753.1068273,232,0.5028064250946045
1539131753.1734805,233,0.47697508335113525
1539131753.2457685,234,0.4914056062698364
1539131753.452842,237,0.5107783079147339
1539131754.299472,247,0.4662194550037384
1539131754.5131164,249,0.42834803462028503
1539131755.456538,255,0.418895423412323
1539131755.8109329,258,0.4301353096961975
1539131755.9433866,259,0.3801901340484619
1539131756.079002,260,0.43724820017814636
1539131756.193902,261,0.44644129276275635
1539131756.3613234,263,0.5611265301704407
1539131756.7361393,267,0.4960152506828308
1539131756.9806392,269,0.357290655374527
1539131757.19429,271,0.42354393005371094
1539131757.3495038,273,0.5577945113182068
1539131757.7281752,278,0.4206470847129822
1539131758.3407893,284,0.42221394181251526
1539131759.0919797,291,0.31033381819725037
1539131759.1729732,292,0.47816601395606995
1539131759.6583564,297,0.4508446455001831
1539131759.7891314,298,0.4854038655757904
1539131760.648175,301,0.48984259366989136
1539131760.7539275,302,0.33885422348976135
1539131760.8424535,303,0.4085763692855835
1539131761.217486,307,0.38344258069992065
1539131761.3109014,308,0.342972993850708
1539131761.542526,310,0.38704684376716614
1539131761.8711371,313,0.4327663481235504
1539131762.2105951,317,0.29442572593688965
1539131762.2922356,318,0.41652625799179077
1539131762.375309,319,0.40124234557151794
1539131762.4682083,320,0.5022834539413452
1539131762.6757631,322,0.32861775159835815
1539131762.9998915,325,0.3160541355609894
1539131763.091999,326,0.3214859068393707
1539131763.2046568,327,0.3711783289909363
1539131763.442006,330,0.4168526530265808
1539131763.7120543,333,0.33261069655418396
1539131764.289169,339,0.4533177614212036
1539131764.4418976,341,0.3283065855503082
1539131764.7241971,344,0.26043885946273804
1539131764.811388,345,0.31586384773254395
1539131764.9800165,347,0.3047071397304535
1539131765.0530956,348,0.4045249819755554
1539131765.8029354,353,0.390574187040329
1539131765.879652,354,0.3181454837322235
1539131766.2480288,358,0.38867223262786865
1539131766.4458587,360,0.35356414318084717
