Wall time,Step,Value
1539102691.3227515,5,2.632723331451416
1539102692.5528224,18,2.2362070083618164
1539102693.1638482,24,2.0012447834014893
1539102694.868327,40,1.6399062871932983
1539102695.052868,42,1.6343852281570435
1539102695.3388274,45,1.401415228843689
1539102695.5157845,47,1.3824474811553955
1539102696.3585505,53,1.2865580320358276
1539102696.637933,56,1.1655564308166504
1539102698.4744115,71,0.866584300994873
1539102698.7782857,74,0.7841673493385315
1539102699.2748525,79,0.7967146039009094
1539102700.0904384,87,0.8060907125473022
1539102700.7629535,94,0.5944811105728149
1539102701.8332255,102,0.5726577043533325
1539102702.0986943,105,0.622278094291687
1539102702.2102077,106,0.5412455201148987
1539102702.8914323,113,0.3783767819404602
1539102704.1665287,126,0.5413081049919128
1539102705.4201264,139,0.4331042170524597
1539102706.5854733,150,0.34871169924736023
1539102707.4992356,155,0.356950044631958
1539102707.8096704,158,0.4750305414199829
1539102708.8268962,167,0.353976845741272
1539102708.9256222,168,0.4162309765815735
1539102710.1536453,178,0.487472265958786
1539102710.7011778,183,0.3748360872268677
1539102710.9110093,185,0.267613023519516
1539102711.0229352,186,0.341795951128006
1539102711.5032668,190,0.3416975736618042
1539102712.392637,198,0.2841957211494446
1539102713.539062,206,0.2543485462665558
1539102713.6509788,207,0.3127093017101288
1539102714.2397213,212,0.34559354186058044
1539102715.4483647,223,0.29162198305130005
1539102716.0570862,229,0.24015408754348755
1539102716.5595226,234,0.24853350222110748
1539102716.8783994,237,0.2987595498561859
1539102718.2655296,249,0.25676825642585754
1539102719.589377,255,0.3281548321247101
1539102720.147087,260,0.21010039746761322
1539102720.9036582,267,0.21161216497421265
1539102721.3090386,271,0.2685093283653259
1539102721.5842519,273,0.25643688440322876
1539102723.8352857,292,0.18617066740989685
1539102724.3675714,297,0.17690931260585785
1539102724.4639938,298,0.16885080933570862
1539102725.3252513,303,0.2575722336769104
1539102725.9471183,308,0.16706044971942902
1539102726.2052581,310,0.1879337728023529
1539102727.0931582,318,0.2663498818874359
1539102727.202515,319,0.2001090794801712
1539102727.945461,326,0.20531968772411346
1539102728.385989,330,0.2862226366996765
1539102729.3450117,339,0.21747389435768127
1539102730.1959713,347,0.264906108379364
1539102732.1982496,363,0.1574622094631195
1539102732.6263433,367,0.16295042634010315
1539102733.2767432,373,0.1864222288131714
1539102733.7018797,377,0.1914188712835312
1539102733.9109483,379,0.22987262904644012
1539102739.1073296,421,0.09289556741714478
1539102739.2938032,422,0.14882230758666992
1539102739.5187654,424,0.16407757997512817
1539102740.207458,430,0.1052447035908699
1539102741.3003259,439,0.16293056309223175
1539102741.5351288,441,0.15786504745483398
1539102741.650698,442,0.20448094606399536
1539102742.0044098,445,0.15538837015628815
1539102742.9931383,451,0.08294961601495743
1539102744.0306337,460,0.21713000535964966
1539102744.3750544,463,0.17858374118804932
1539102744.4839869,464,0.18679232895374298
1539102745.6012666,474,0.12631356716156006
1539102747.549363,491,0.13785026967525482
1539102747.7778585,493,0.16660302877426147
1539102749.7705297,507,0.09439235925674438
1539102750.3834891,512,0.12256907671689987
1539102750.6169848,514,0.0889824777841568
1539102750.9641778,517,0.14478756487369537
1539102751.9458945,525,0.06585009396076202
1539102752.6771383,531,0.14485646784305573
1539102752.9410572,533,0.11558084189891815
1539102753.3314729,536,0.09704956412315369
1539102754.0926986,542,0.11453981697559357
1539102754.6664314,547,0.049389153718948364
1539102756.5379658,557,0.09321130812168121
1539102757.5474613,563,0.08483356237411499
1539102758.3743243,569,0.16680894792079926
1539102758.905569,573,0.08522861450910568
1539102759.9389782,579,0.0951864942908287
1539102760.317155,581,0.10491548478603363
1539102760.4941838,582,0.08023783564567566
1539102760.8120565,584,0.057619109749794006
1539102761.113917,586,0.10774973779916763
1539102761.258749,587,0.08245369791984558
1539102761.9995093,592,0.12577098608016968
1539102762.1705475,593,0.1646888703107834
1539102764.0590308,602,0.06662292778491974
1539102764.9397638,608,0.07883486896753311
1539102765.3409069,610,0.07339423149824142
1539102766.180776,615,0.09571968019008636
1539102767.057782,620,0.06597062200307846
1539102767.3333082,622,0.07754664123058319
1539102769.367152,634,0.061113785952329636
1539102770.65406,641,0.1163543239235878
1539102770.8495007,642,0.10994727164506912
1539102771.2399473,644,0.06083754450082779
1539102771.600217,646,0.0831126794219017
1539102771.777685,647,0.10021505504846573
1539102772.0996802,649,0.11404115706682205
1539102774.333862,661,0.05530863255262375
1539102774.809054,664,0.038740843534469604
1539102775.4443202,668,0.05630505457520485
1539102775.8854508,671,0.08841346949338913
1539102776.3243048,674,0.05799315497279167
1539102776.9412131,678,0.05312400311231613
1539102777.1048076,679,0.0807783305644989
1539102777.8033726,683,0.057874541729688644
1539102778.6555061,688,0.05507132038474083
1539102780.9031675,699,0.07012151181697845
1539102782.0143905,703,0.06769651174545288
1539102782.6982603,706,0.09391672164201736
1539102784.3239717,714,0.053183045238256454
1539102784.9444768,718,0.06250127404928207
1539102785.4383805,721,0.08570373803377151
1539102785.6104188,722,0.0830535888671875
1539102785.761594,723,0.06827598065137863
1539102787.0570705,730,0.043538615107536316
1539102787.9554603,736,0.09881427139043808
1539102788.2258193,738,0.05549647659063339
1539102788.361543,739,0.05068119615316391
1539102788.873255,743,0.04768027365207672
1539102789.6327147,747,0.09365584701299667
1539102790.4782763,751,0.07586898654699326
1539102790.6155436,752,0.05492304265499115
1539102791.1183643,756,0.04099603742361069
1539102792.6208653,765,0.04282258450984955
1539102793.314498,769,0.07273818552494049
1539102793.4901662,770,0.07436909526586533
1539102793.6591463,771,0.06586813181638718
1539102793.9563506,773,0.07078198343515396
1539102794.1208758,774,0.038072749972343445
1539102795.137816,780,0.1004849225282669
1539102795.757558,784,0.0627673789858818
1539102795.9074726,785,0.05176233872771263
1539102796.2105296,787,0.07874118536710739
1539102796.5365472,789,0.052307553589344025
1539102797.0548325,792,0.05252969637513161
1539102797.2063177,793,0.06472986191511154
1539102797.3557422,794,0.052481312304735184
