Wall time,Step,Value
1539106885.7381158,5,0.36000001430511475
1539106885.8494534,6,0.3499999940395355
1539106886.3597176,11,0.5099999904632568
1539106886.6834223,14,0.6499999761581421
1539106886.784236,15,0.6299999952316284
1539106887.080042,18,0.7099999785423279
1539106887.2835479,20,0.6600000262260437
1539106887.6672144,24,0.6200000047683716
1539106889.054093,36,0.7900000214576721
1539106889.463653,40,0.8399999737739563
1539106889.6581385,42,0.75
1539106889.8466005,44,0.7799999713897705
1539106889.9564114,45,0.8299999833106995
1539106890.1543868,47,0.8500000238418579
1539106891.1272943,53,0.8700000047683716
1539106891.2213376,54,0.8199999928474426
1539106891.384517,55,0.8500000238418579
1539106891.5027761,56,0.8100000023841858
1539106891.673923,57,0.8899999856948853
1539106892.8470979,65,0.8199999928474426
1539106893.2385688,68,0.8199999928474426
1539106893.7439096,71,0.8799999952316284
1539106893.9031146,72,0.8100000023841858
1539106894.1170452,73,0.9100000262260437
1539106894.2788162,74,0.8600000143051147
1539106895.1317308,79,0.8399999737739563
1539106895.919541,87,0.8500000238418579
1539106896.0187528,88,0.9200000166893005
1539106896.6225235,94,0.9200000166893005
1539106897.737327,102,0.8999999761581421
1539106898.0383656,105,0.8799999952316284
1539106898.1668358,106,0.8899999856948853
1539106898.9189456,113,0.9200000166893005
1539106899.204126,116,0.8999999761581421
1539106899.3958757,118,0.9100000262260437
1539106900.1875274,126,0.9100000262260437
1539106900.4859858,129,0.9100000262260437
1539106900.5884945,130,0.9399999976158142
1539106901.52259,139,0.9200000166893005
1539106901.7425103,141,0.8600000143051147
1539106901.8356037,142,0.8500000238418579
1539106901.9436378,143,0.9200000166893005
1539106902.6730556,150,0.9200000166893005
1539106903.4944928,155,0.9399999976158142
1539106903.7015045,157,0.8899999856948853
1539106903.8180833,158,0.9800000190734863
1539106904.2254448,162,0.8899999856948853
1539106904.7200224,167,0.9200000166893005
1539106904.8205886,168,0.9200000166893005
1539106905.1291654,171,0.9599999785423279
1539106905.7182436,177,0.9599999785423279
1539106905.8189805,178,0.9399999976158142
1539106906.024661,180,0.8999999761581421
1539106906.334872,183,0.9300000071525574
1539106906.5370572,185,0.9200000166893005
1539106906.6426375,186,0.8899999856948853
1539106906.8418944,188,0.9200000166893005
1539106907.0563958,190,0.949999988079071
1539106907.2143466,191,0.949999988079071
1539106907.9382074,198,0.9300000071525574
1539106909.0082192,206,0.949999988079071
1539106909.111986,207,0.9200000166893005
1539106909.2062569,208,0.9300000071525574
1539106909.6375804,212,0.9599999785423279
1539106910.7486763,222,0.9100000262260437
1539106910.848214,223,0.9599999785423279
1539106911.0501745,225,0.9300000071525574
1539106911.5279815,229,0.9599999785423279
1539106911.837102,232,0.9700000286102295
1539106911.942559,233,0.9399999976158142
1539106912.0604575,234,0.9100000262260437
1539106912.4244633,237,0.9800000190734863
1539106914.0374186,249,0.949999988079071
1539106915.0087388,255,0.949999988079071
1539106915.385279,258,0.9200000166893005
1539106915.579487,260,0.9700000286102295
1539106915.6822839,261,0.9300000071525574
1539106915.8999646,263,0.9800000190734863
1539106916.3311427,267,0.9399999976158142
1539106916.7627046,271,0.9599999785423279
1539106916.9895551,273,0.9700000286102295
1539106917.5849867,278,0.949999988079071
1539106919.1622927,292,0.9599999785423279
1539106919.7156222,297,0.9700000286102295
1539106919.8199122,298,0.949999988079071
1539106920.5119257,302,0.9800000190734863
1539106920.6134183,303,0.9599999785423279
1539106921.0390348,307,0.9800000190734863
1539106921.1532624,308,0.949999988079071
1539106921.3734639,310,0.9599999785423279
1539106921.862616,313,0.9800000190734863
1539106922.575533,318,0.9300000071525574
1539106922.6856203,319,0.9200000166893005
1539106922.7904031,320,0.9800000190734863
1539106923.3596091,325,0.9399999976158142
1539106923.4742513,326,0.949999988079071
1539106923.5918922,327,0.9599999785423279
1539106923.9276807,330,0.9900000095367432
1539106924.9419184,339,0.9900000095367432
1539106925.1649115,341,0.9900000095367432
1539106925.831532,347,0.9599999785423279
1539106926.7952032,353,0.9800000190734863
1539106926.9062402,354,0.9599999785423279
1539106927.5858314,360,0.9700000286102295
1539106927.9292514,363,0.9700000286102295
1539106928.3997066,367,0.9700000286102295
1539106928.8547163,371,0.949999988079071
1539106929.091927,373,0.9800000190734863
1539106929.6391068,377,0.9700000286102295
1539106929.764061,378,0.9599999785423279
1539106929.8947535,379,0.9800000190734863
1539106930.1640906,381,0.949999988079071
1539106930.800822,386,0.9700000286102295
1539106931.4205515,391,0.9800000190734863
1539106931.5323281,392,0.9599999785423279
1539106931.6857522,393,0.9200000166893005
1539106933.8637028,408,0.9700000286102295
1539106934.715626,415,0.9900000095367432
1539106935.4322686,421,0.9700000286102295
1539106935.5573287,422,0.9599999785423279
1539106935.8147266,424,0.949999988079071
1539106936.0838113,426,0.9599999785423279
1539106936.6095247,430,0.9599999785423279
1539106937.8394434,439,0.9599999785423279
1539106938.0755007,441,0.9599999785423279
1539106938.199817,442,0.9700000286102295
1539106938.5878286,445,0.9800000190734863
1539106939.7509449,451,0.9900000095367432
1539106940.9405544,459,0.9399999976158142
1539106941.0666537,460,0.9800000190734863
1539106941.4723635,463,0.9599999785423279
1539106941.6205192,464,0.9700000286102295
1539106942.9614508,473,0.9700000286102295
1539106943.108238,474,0.9800000190734863
1539106944.529473,485,0.9700000286102295
1539106944.907301,488,0.9800000190734863
1539106945.0429142,489,0.949999988079071
1539106945.497738,491,0.9900000095367432
1539106945.8131864,493,0.9599999785423279
1539106948.359027,507,0.9800000190734863
1539106949.025514,512,1.0
1539106949.2833452,514,0.9800000190734863
1539106949.7089539,517,1.0
1539106949.987514,519,0.9900000095367432
1539106951.2159805,524,0.9700000286102295
1539106951.5269384,525,0.9700000286102295
1539106953.4987195,531,0.9800000190734863
1539106953.922676,533,0.9700000286102295
1539106954.2036507,534,0.9599999785423279
1539106954.610365,536,0.9900000095367432
1539106954.7780037,537,0.9900000095367432
1539106955.4397058,540,0.9900000095367432
1539106955.8909855,542,0.9800000190734863
1539106956.5818675,547,1.0
1539106956.7237413,548,0.9900000095367432
1539106958.3751135,557,0.9700000286102295
1539106958.675127,559,0.9900000095367432
1539106959.3202083,563,1.0
1539106959.452651,564,0.9800000190734863
1539106959.6190467,565,0.9900000095367432
1539106960.3527288,569,0.9900000095367432
1539106960.9480455,573,0.9800000190734863
1539106961.0993228,574,0.9900000095367432
1539106961.5055764,577,0.9700000286102295
1539106961.7858167,579,1.0
1539106961.95002,580,0.9700000286102295
1539106962.0832107,581,0.9800000190734863
1539106962.2269022,582,0.9700000286102295
1539106962.366547,583,0.9800000190734863
1539106962.5216832,584,0.9800000190734863
1539106962.7894018,586,0.9700000286102295
1539106962.9165256,587,0.9900000095367432
1539106963.731179,592,0.9900000095367432
1539106963.9560876,593,0.9900000095367432
1539106964.767512,597,0.9800000190734863
1539106965.303575,600,1.0
1539106966.3484902,602,0.9900000095367432
1539106967.629166,608,0.9900000095367432
1539106968.180951,610,0.949999988079071
1539106969.1144888,615,0.9700000286102295
1539106969.8044624,619,1.0
1539106970.0184526,620,0.9900000095367432
1539106970.4569573,622,1.0
1539106972.6358554,634,0.9800000190734863
1539106973.9981081,641,0.9700000286102295
1539106974.1616225,642,0.9900000095367432
1539106974.4822266,644,0.9800000190734863
1539106974.645163,645,0.9900000095367432
1539106974.8383493,646,0.9800000190734863
1539106974.9876277,647,0.9800000190734863
1539106975.2634363,649,0.9800000190734863
1539106976.0177143,652,0.9900000095367432
1539106976.5661833,656,0.9800000190734863
1539106976.698913,657,0.9900000095367432
1539106977.255306,661,0.9800000190734863
1539106977.659156,664,1.0
1539106978.228351,668,0.9900000095367432
1539106978.6680207,671,0.9800000190734863
1539106978.815431,672,0.9900000095367432
1539106978.9458747,673,1.0
1539106979.0867662,674,0.9700000286102295
1539106979.2339473,675,0.9700000286102295
1539106979.5296893,677,0.9900000095367432
1539106979.6671517,678,0.9800000190734863
1539106979.8074756,679,0.949999988079071
1539106980.233996,682,1.0
1539106980.3780158,683,1.0
1539106980.534174,684,0.9800000190734863
1539106980.8599122,686,0.9800000190734863
1539106981.1915271,688,0.9700000286102295
1539106981.3713405,689,1.0
1539106982.4890614,696,0.9900000095367432
1539106982.934079,699,0.9700000286102295
1539106984.0521817,703,0.9599999785423279
1539106984.4659812,706,0.9900000095367432
1539106984.7777574,708,0.9900000095367432
1539106985.0633938,710,0.9800000190734863
1539106985.6334264,714,1.0
1539106986.2093804,718,0.9900000095367432
1539106986.7158194,721,1.0
1539106986.8688152,722,1.0
1539106987.018473,723,0.9900000095367432
1539106987.1710746,724,0.9900000095367432
1539106988.162429,730,1.0
1539106989.0501032,736,1.0
1539106989.4815369,738,0.9900000095367432
