,latin_name,pop_name_pt_br,ID,Rank,Grupo,Classe,Divisão,Ordem,Família,Subfamília,Tribo,Gênero,Espécie,Subespécie,Variedade,Forma,Autor,Registro,Status,Qualificador,Obra Original,Origem,Endêmica,Ocorre no Brasil,Vouchers,Referências,Formas de Vida,Substratos,Distr. Regional,Distr. UF,Dom. Fitogeográfico,Tipo Vegetação,Tem Como Sinônimos,É Sinônimo de,Nomes Vernaculares,Bibliografia,Autoria,Data da Última Atualização,Usuário da Última Atualização,Citação
15,Nerium oleander,,33737.0,Espécie,Angiospermas,,,,Apocynaceae,,,Nerium,oleander,,,,L.,Checado,Nome aceito,Nome correto,,Cultivada,não é endêmica do Brasil,Sim,,"Sp. Pl., : 209, 1753",Árvore,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AL; BA; CE; DF; ES; GO; MA; MG; MS; MT; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP; TO,,Área Antrópica,heterotípico Nerium oleander var. indicum; heterotípico Nerium oleander subsp. kurdicum; heterotípico Nerium odorum; heterotípico Nerion oleandrum; heterotípico Nerium indicum var. plenum; heterotípico Nerium splendens; heterotípico Nerium thyrsiflorum; heterotípico Nerium verecundum; heterotípico Oleander vulgaris; heterotípico Nerium carneum; heterotípico Nerium flavescens; heterotípico Nerium floridum; heterotípico Nerium grandiflorum; heterotípico Oleander indica; heterotípico Nerium indicum; heterotípico Nerium japonicum; heterotípico Nerium indicum subsp. kotschyi; heterotípico Nerium kotschyi; heterotípico Nerium latifolium; heterotípico Nerium lauriforme; heterotípico Nerium indicum var. leucanthum; heterotípico Nerium indicum var. lutescens; heterotípico Nerium luteum; heterotípico Nerium mascatense; heterotípico Nerium odoratissimum; heterotípico Nerium odoratum,,,,"Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D.",02/09/2014 23:20,"Simões, A.O.","Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D. 2015. Apocynaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB33737)"
26,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pachystachys lutea,,21701.0,Espécie,Angiospermas,,,,Acanthaceae,,,Pachystachys,lutea,,,,Nees,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"J.G. Kuhlmann, 728, RB","Profice, S.R., Bradea, 11(1):1-6., 2005; Profice, S.R., Bradea, 11(1):1-6., 2005, Wasshausen, D.C., Proc. Biol. Soc. Washington, 99(1):162-3., 1986",Arbusto,Terrícola,Norte,AC,Amazônia,Floresta Ombrófila (= Floresta Pluvial),heterotípico Pachystachys albiflora,,,,"Profice, S.R.,Kameyama, C.,Côrtes, A.L.A.,Braz, D.M.,Indriunas, A.,Vilar, T.,Pessoa, C.,Ezcurra, C.,Wasshausen, D.",07/12/2011 15:10,"Profice, S.R.","Profice, S.R.,Kameyama, C.,Côrtes, A.L.A.,Braz, D.M.,Indriunas, A.,Vilar, T.,Pessoa, C.,Ezcurra, C.,Wasshausen, D. 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB21701)"
28,Pelargonium peltatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Phalaenopsis alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Plumbago auriculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Portulaca grandiflora,,20620.0,Espécie,Angiospermas,,,,Portulacaceae,,,Portulaca,grandiflora,,,,Hook.,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"Oliveira-Paes Coelho, A., 400, MBM; Hatschbach, G., 19069, MBM; Rodrigues, M.I., 45, MBM; H.Sick, B 125, RB (MT)",,Erva,Rupícola; Terrícola,"Nordeste, Centro-Oeste, Sudeste, Sul",BA; GO; MG; MS; MT; PR; SP,"Caatinga, Cerrado, Mata Atlântica","Área Antrópica, Caatinga (stricto sensu), Campinarana, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Restinga",,,,"LEGRAND, C. D.1962. LAS ESPÉCIES AMERICANAS DE Portulaca An. Mus. de Hist. Nat. de Montevideo 7 (3): 9-147.


COELHO, A. A. de O. P. 2006. REVISÃO TAXONÔMICA DAS Portulaca L. (PORTULACACEAE) DO BRASIL. Tese de Doutorado. Programa de Pós-Graduação em Botânica. Universidade Estadual de Feira de Santana, Bahia, Brasil.","Coelho, A. A. de O. P.,Zappi, D.",03/11/2014 08:57,"Zappi, D.","Coelho, A. A. de O. P.,Zappi, D. 2015. Portulacaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB20620)"
76,Rhododendron simsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rosa x hybrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Russelia equisetiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Saintpaulia ionantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salvia splendens,,8352.0,Espécie,Angiospermas,,,,Lamiaceae,,,Salvia,splendens,,,,Sellow ex Roem. & Schult.,Checado,Nome aceito,Nome correto,"Santos, E.P., Kew Bull., 59:288, 2004",Nativa,é endêmica do Brasil,Sim,"Sellow, 528, K, Typus",,Arbusto; Erva; Subarbusto,Terrícola,"Nordeste, Centro-Oeste, Sudeste, Sul",BA; ES; GO; MG; PR; RJ; RS; SC; SP,Mata Atlântica,"Área Antrópica, Floresta Ombrófila (= Floresta Pluvial)",heterotípico Salvia colorans; heterotípico Salvia hoveyi; heterotípico Salvia issanchou; heterotípico Salvia brasiliensis,,,Santos E.P. 2004. Notes on Salvia sect. Secundae (Lamiaceae) and two new species from Brazil. Kew Bulletin 50:285-290.,"Santos, E.P.",23/09/2014 11:36,"Santos, E.P.","Santos, E.P. 2015. Salvia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB8352)"
58,Schlumbergera sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Strelitzia reginae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thunbergia alata,,21730.0,Espécie,Angiospermas,,,,Acanthaceae,,,Thunbergia,alata,,,,Bojer ex Sims,Checado,Nome aceito,Nome correto,,Naturalizada,não é endêmica do Brasil,Sim,"R. Reitz, 540, HBR; R.D.Sartin et al., 416, UFG (GO)","Wasshausen, D.C. & Smith, L.B., Fl. Ilustr. Catarin., 17-20,, 1969",Liana/volúvel/trepadeira,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AC; AL; AM; AP; BA; GO; MG; PA; PR; RJ; SC; SP,"Amazônia, Caatinga, Mata Atlântica",Área Antrópica,,,,,"Profice, S.R.,Kameyama, C.,Côrtes, A.L.A.,Braz, D.M.,Indriunas, A.,Vilar, T.,Pessoa, C.,Ezcurra, C.,Wasshausen, D.",05/09/2014 13:47,"Kameyama, C.","Profice, S.R.,Kameyama, C.,Côrtes, A.L.A.,Braz, D.M.,Indriunas, A.,Vilar, T.,Pessoa, C.,Ezcurra, C.,Wasshausen, D. 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB21730)"
77,Thunbergia mysorensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tibouchina mutabilis,,9944.0,Espécie,Angiospermas,,,,Melastomataceae,,,Tibouchina,mutabilis,,,,(Vell.) Cogn.,Checado,Nome aceito,Nome correto,,Nativa,é endêmica do Brasil,Sim,"A.C. Brade , 13037, RB (SP)",,Árvore,Terrícola,Sudeste,ES; RJ; SP,Mata Atlântica,Floresta Ombrófila (= Floresta Pluvial),,,,,"Guimarães, P.J.F.",07/12/2014 01:40,"Baumgratz, J.F.A.","Guimarães, P.J.F. 2015. Tibouchina in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB9944)"
23,Viola x wittrockiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Zantedeschia aetiopica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
