,latin_name,pop_name_pt_br,ID,Rank,Grupo,Classe,Divisão,Ordem,Família,Subfamília,Tribo,Gênero,Espécie,Subespécie,Variedade,Forma,Autor,Registro,Status,Qualificador,Obra Original,Origem,Endêmica,Ocorre no Brasil,Vouchers,Referências,Formas de Vida,Substratos,Distr. Regional,Distr. UF,Dom. Fitogeográfico,Tipo Vegetação,Tem Como Sinônimos,É Sinônimo de,Nomes Vernaculares,Bibliografia,Autoria,Data da Última Atualização,Usuário da Última Atualização,Citação
16,Dianthus caryophyllus,,109764.0,Espécie,Angiospermas,,,,Caryophyllaceae,,,Dianthus,caryophyllus,,,,L.,Checado,Nome aceito,Nome correto,,Cultivada,não é endêmica do Brasil,Sim,"G.D. Zanetti, SMDB, 6442 (RS); Mesquita, 8, UB, 6442 (GO); Sotratti, ESA, 6442 (SP)","Sp. Pl., 1:410, 1753",Erva,Terrícola,"Nordeste, Centro-Oeste, Sudeste, Sul",BA; CE; GO; MG; RS; SP,,Área Antrópica,,,cravo; cravo-branco,"Carneiro, C.E. 2004. A família Caryophyllaceae no Brasil. UNESP. Rio Claro, SP. Tese de Doutorado.","Carneiro, C.E.",22/09/2014 22:26,"Carneiro, C.E.","Carneiro, C.E. 2015. Caryophyllaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB109764)"
41,Dietes bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Echeveria sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Euphorbia milii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Euphorbia pulcherrima,,36072.0,Espécie,Angiospermas,,,,Euphorbiaceae,,,Euphorbia,pulcherrima,,,,Willd. ex Klotzsch,Checado,,,,Nativa,não é endêmica do Brasil,Não ocorre no Brasil,,"Allg. Gartenzeitung (Otto & Dietrich), 2: 27, 1834",,,,,,,heterotípico Poinsettia pulcherrima var. albida; homotípico Poinsettia pulcherrima; heterotípico Pleuradenia coccinea; heterotípico Euphorbia erythrophylla; heterotípico Euphorbia fastuosa; heterotípico Euphorbia coccinea; heterotípico Euphorbia diversifolia,,,,"Steinmann, V.,Caruzo, M.B.R.,O.L.M. Silva,Riina, R.",26/12/2009 02:50,"Steinmann, V.","Steinmann, V.,Caruzo, M.B.R.,O.L.M. Silva,Riina, R. 2015. Euphorbia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB36072)"
37,Fuchsia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Gardenia jasminoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gazania rigens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gerbera jamesonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gomphrena globosa,,25100.0,Espécie,Angiospermas,,,,Amaranthaceae,,,Gomphrena,globosa,,,,L.,Checado,Nome aceito,Nome correto,,Naturalizada,não é endêmica do Brasil,Sim,"Siqueira, J.C., 3504, SPF; Furlan, A., 2, SPF","Siqueira, J.C., Pesquisas, Bot., 43: 5-197, 1992",Subarbusto,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AC; AM; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RR; RS; SC; SP,"Amazônia, Caatinga, Cerrado, Mata Atlântica","Área Antrópica, Caatinga (stricto sensu), Campinarana, Cerrado (lato sensu)",heterotípico Xeraea globosa; heterotípico Gomphrena rubra; heterotípico Amaranthoides globosus,,,,"Senna, L.,Siqueira, J.C. de,Marchioretto, M.S.",30/09/2014 05:38,"Senna, L.","Senna, L.,Siqueira, J.C. de,Marchioretto, M.S. 2015. Gomphrena in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB25100)"
29,Helianthus annuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Heliconia rostrata,,23284.0,Espécie,Angiospermas,,,,Heliconiaceae,,,Heliconia,rostrata,,,,Ruiz & Pav.,Checado,Nome aceito,Nome correto,"Ruiz L., H. &  Pavón, J.A. , Fl. Peruv. Chil., 3: 71, tab. 305., 1802",Nativa,não é endêmica do Brasil,Sim,"G.T. Prance et al., 14692, INPA, U (AM)",,Erva,Terrícola,"Norte, Centro-Oeste",AC; AM; MT; RO,Amazônia,"Floresta de Igapó, Floresta de Terra Firme, Floresta de Várzea",,,,"Braga, J.M.A. 2008. Revisão Taxonômica de Heliconiaceae do Brasil. Tese de Doutorado. Universidade Federal do Rio de Janeiro, Rio de Janeiro.","Braga, J.M.A.",24/09/2014 16:44,"Braga, J.M.A.","Braga, J.M.A. 2015. Heliconiaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB23284)"
63,Hemerocallis flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hibiscus rosa-sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hippeastrum hybridum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hyacinthus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hydrangea macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Impatiens hawkeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Impatiens walleriana,,282018.0,Espécie,Angiospermas,,,,Balsaminaceae,,,Impatiens,walleriana,,,,Hook. f.,Checado,Nome aceito,Nome correto,,Naturalizada,não é endêmica do Brasil,Sim,"Souza, V.C., 11151, ESA, 32030 (SP); Mantovani, W., 17, SP, 32030 (SP)",,Erva,Terrícola,"Nordeste, Centro-Oeste, Sudeste, Sul",AL; BA; DF; ES; MA; MG; MT; PE; PR; RJ; RS; SC; SP,"Cerrado, Mata Atlântica","Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Floresta Ombrófila Mista",,,beijo; maria-sem-vergonha,,"Forzza, R.C.,Costa, A.,Walter, B.M.T.,Pirani, J.R.,Morim, M.P.,Queiroz, L.P.,Martinelli, G.,Peixoto, A.L.,Coelho, M.A.N.,Baumgratz, J.F.A.,Stehmann, J.R.,Lohmann, L.G.",,,"Forzza, R.C.,Costa, A.,Walter, B.M.T.,Pirani, J.R.,Morim, M.P.,Queiroz, L.P.,Martinelli, G.,Peixoto, A.L.,Coelho, M.A.N.,Baumgratz, J.F.A.,Stehmann, J.R.,Lohmann, L.G. 2015. Balsaminaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB130841)"
